LOAN_ID,GENDER,MARRIED,DEPENDENTS,EDUCATION,SELF_EMPLOYED,APPLICANTINCOME,COAPPLICANTINCOME,LOANAMOUNT,LOAN_AMOUNT_TERM,CREDIT_HISTORY,PROPERTY_AREA,LOAN_STATUS,TOTALINCOME
LP002545,Male,No,2,Graduate,No,3547,0,80.0,360.0,0.0,Rural,0,3547
LP002547,Male,Yes,1,Graduate,No,18333,0,500.0,360.0,1.0,Urban,0,18333
LP002555,Male,Yes,2,Graduate,Yes,4583,2083,160.0,360.0,1.0,Semiurban,1,6666
LP002556,Male,No,0,Graduate,No,2435,0,75.0,360.0,1.0,Urban,0,2435
LP002560,Male,No,0,Not Graduate,No,2699,2785,96.0,360.0,1.0,Semiurban,1,5484
LP002562,Male,Yes,1,Not Graduate,No,5333,1131,186.0,360.0,1.0,Urban,1,6464
LP002571,Male,No,0,Not Graduate,No,3691,0,110.0,360.0,1.0,Rural,1,3691
LP002582,Female,No,0,Not Graduate,Yes,17263,0,225.0,360.0,1.0,Semiurban,1,17263
LP002585,Male,Yes,0,Graduate,No,3597,2157,119.0,360.0,0.0,Rural,0,5754
LP002586,Female,Yes,1,Graduate,No,3326,913,105.0,84.0,1.0,Semiurban,1,4239
LP002587,Male,Yes,0,Not Graduate,No,2600,1700,107.0,360.0,1.0,Rural,1,4300
LP002588,Male,Yes,0,Graduate,No,4625,2857,111.0,12.0,1.0,Urban,1,7482
LP002600,Male,Yes,1,Graduate,Yes,2895,0,95.0,360.0,1.0,Semiurban,1,2895
LP002602,Male,No,0,Graduate,No,6283,4416,209.0,360.0,0.0,Rural,0,10699
LP002603,Female,No,0,Graduate,No,645,3683,113.0,480.0,1.0,Rural,1,4328
LP002606,Female,No,0,Graduate,No,3159,0,100.0,360.0,1.0,Semiurban,1,3159
LP002615,Male,Yes,2,Graduate,No,4865,5624,208.0,360.0,1.0,Semiurban,1,10489
LP002618,Male,Yes,1,Not Graduate,No,4050,5302,138.0,360.0,1.0,Rural,0,9352
LP002619,Male,Yes,0,Not Graduate,No,3814,1483,124.0,300.0,1.0,Semiurban,1,5297
LP002622,Male,Yes,2,Graduate,No,3510,4416,243.0,360.0,1.0,Rural,1,7926
LP002624,Male,Yes,0,Graduate,No,20833,6667,480.0,360.0,1.0,Urban,1,27500
LP002625,Male,No,0,Graduate,No,3583,0,96.0,360.0,1.0,Urban,0,3583
LP002626,Male,Yes,0,Graduate,Yes,2479,3013,188.0,360.0,1.0,Urban,1,5492
LP002634,Female,No,1,Graduate,No,13262,0,40.0,360.0,1.0,Urban,1,13262
LP002637,Male,No,0,Not Graduate,No,3598,1287,100.0,360.0,1.0,Rural,0,4885
LP002640,Male,Yes,1,Graduate,No,6065,2004,250.0,360.0,1.0,Semiurban,1,8069
LP002643,Male,Yes,2,Graduate,No,3283,2035,148.0,360.0,1.0,Urban,1,5318
LP002648,Male,Yes,0,Graduate,No,2130,6666,70.0,180.0,1.0,Semiurban,0,8796
LP002652,Male,No,0,Graduate,No,5815,3666,311.0,360.0,1.0,Rural,0,9481
LP002659,Male,Yes,3,Graduate,No,3466,3428,150.0,360.0,1.0,Rural,1,6894
LP002670,Female,Yes,2,Graduate,No,2031,1632,113.0,480.0,1.0,Semiurban,1,3663
LP002682,Male,Yes,0,Not Graduate,No,3074,1800,123.0,360.0,0.0,Semiurban,0,4874
LP002683,Male,No,0,Graduate,No,4683,1915,185.0,360.0,1.0,Semiurban,0,6598
LP002684,Female,No,0,Not Graduate,No,3400,0,95.0,360.0,1.0,Rural,0,3400
LP002689,Male,Yes,2,Not Graduate,No,2192,1742,45.0,360.0,1.0,Semiurban,1,3934
LP002690,Male,No,0,Graduate,No,2500,0,55.0,360.0,1.0,Semiurban,1,2500
LP002692,Male,Yes,3,Graduate,Yes,5677,1424,100.0,360.0,1.0,Rural,1,7101
LP002693,Male,Yes,2,Graduate,Yes,7948,7166,480.0,360.0,1.0,Rural,1,15114
LP002697,Male,No,0,Graduate,No,4680,2087,128.0,360.0,1.0,Semiurban,0,6767
LP002699,Male,Yes,2,Graduate,Yes,17500,0,400.0,360.0,1.0,Rural,1,17500
LP002705,Male,Yes,0,Graduate,No,3775,0,110.0,360.0,1.0,Semiurban,1,3775
LP002706,Male,Yes,1,Not Graduate,No,5285,1430,161.0,360.0,0.0,Semiurban,1,6715
LP002714,Male,No,1,Not Graduate,No,2679,1302,94.0,360.0,1.0,Semiurban,1,3981
LP002716,Male,No,0,Not Graduate,No,6783,0,130.0,360.0,1.0,Semiurban,1,6783
LP002717,Male,Yes,0,Graduate,No,1025,5500,216.0,360.0,1.0,Rural,1,6525
LP002720,Male,Yes,3,Graduate,No,4281,0,100.0,360.0,1.0,Urban,1,4281
LP002723,Male,No,2,Graduate,No,3588,0,110.0,360.0,0.0,Rural,0,3588
LP002729,Male,No,1,Graduate,No,11250,0,196.0,360.0,1.0,Semiurban,0,11250
LP002731,Female,No,0,Not Graduate,Yes,18165,0,125.0,360.0,1.0,Urban,1,18165
LP002732,Male,No,0,Not Graduate,No,2550,2042,126.0,360.0,1.0,Rural,1,4592
LP002734,Male,Yes,0,Graduate,No,6133,3906,324.0,360.0,1.0,Urban,1,10039
LP002738,Male,No,2,Graduate,No,3617,0,107.0,360.0,1.0,Semiurban,1,3617
LP002739,Male,Yes,0,Not Graduate,No,2917,536,66.0,360.0,1.0,Rural,0,3453
LP002740,Male,Yes,3,Graduate,No,6417,0,157.0,180.0,1.0,Rural,1,6417
LP002741,Female,Yes,1,Graduate,No,4608,2845,140.0,180.0,1.0,Semiurban,1,7453
LP002743,Female,No,0,Graduate,No,2138,0,99.0,360.0,0.0,Semiurban,0,2138
LP002753,Female,No,1,Graduate,No,3652,0,95.0,360.0,1.0,Semiurban,1,3652
LP002755,Male,Yes,1,Not Graduate,No,2239,2524,128.0,360.0,1.0,Urban,1,4763
LP002757,Female,Yes,0,Not Graduate,No,3017,663,102.0,360.0,1.0,Semiurban,1,3680
LP002767,Male,Yes,0,Graduate,No,2768,1950,155.0,360.0,1.0,Rural,1,4718
LP002768,Male,No,0,Not Graduate,No,3358,0,80.0,36.0,1.0,Semiurban,0,3358
LP002772,Male,No,0,Graduate,No,2526,1783,145.0,360.0,1.0,Rural,1,4309
LP002776,Female,No,0,Graduate,No,5000,0,103.0,360.0,0.0,Semiurban,0,5000
LP002777,Male,Yes,0,Graduate,No,2785,2016,110.0,360.0,1.0,Rural,1,4801
LP002778,Male,Yes,2,Graduate,Yes,6633,0,128.0,360.0,0.0,Rural,0,6633
LP002784,Male,Yes,1,Not Graduate,No,2492,2375,128.0,360.0,1.0,Rural,1,4867
LP002785,Male,Yes,1,Graduate,No,3333,3250,158.0,360.0,1.0,Urban,1,6583
LP002788,Male,Yes,0,Not Graduate,No,2454,2333,181.0,360.0,0.0,Urban,0,4787
LP002789,Male,Yes,0,Graduate,No,3593,4266,132.0,180.0,0.0,Rural,0,7859
LP002792,Male,Yes,1,Graduate,No,5468,1032,26.0,360.0,1.0,Semiurban,1,6500
LP002794,Female,No,0,Graduate,No,2667,1625,84.0,360.0,1.0,Urban,1,4292
LP002795,Male,Yes,3,Graduate,Yes,10139,0,260.0,360.0,1.0,Semiurban,1,10139
LP002798,Male,Yes,0,Graduate,No,3887,2669,162.0,360.0,1.0,Semiurban,1,6556
LP001002,Male,No,0,Graduate,No,5849,0,128.0,360.0,1.0,Urban,1,5849
LP001003,Male,Yes,1,Graduate,No,4583,1508,128.0,360.0,1.0,Rural,0,6091
LP001005,Male,Yes,0,Graduate,Yes,3000,0,66.0,360.0,1.0,Urban,1,3000
LP001006,Male,Yes,0,Not Graduate,No,2583,2358,120.0,360.0,1.0,Urban,1,4941
LP001008,Male,No,0,Graduate,No,6000,0,141.0,360.0,1.0,Urban,1,6000
LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267.0,360.0,1.0,Urban,1,9613
LP001013,Male,Yes,0,Not Graduate,No,2333,1516,95.0,360.0,1.0,Urban,1,3849
LP001014,Male,Yes,3,Graduate,No,3036,2504,158.0,360.0,0.0,Semiurban,0,5540
LP001018,Male,Yes,2,Graduate,No,4006,1526,168.0,360.0,1.0,Urban,1,5532
LP001020,Male,Yes,1,Graduate,No,12841,10968,349.0,360.0,1.0,Semiurban,0,23809
LP001024,Male,Yes,2,Graduate,No,3200,700,70.0,360.0,1.0,Urban,1,3900
LP001027,Male,Yes,2,Graduate,No,2500,1840,109.0,360.0,1.0,Urban,1,4340
LP001028,Male,Yes,2,Graduate,No,3073,8106,200.0,360.0,1.0,Urban,1,11179
LP001029,Male,No,0,Graduate,No,1853,2840,114.0,360.0,1.0,Rural,0,4693
LP001030,Male,Yes,2,Graduate,No,1299,1086,17.0,120.0,1.0,Urban,1,2385
LP001032,Male,No,0,Graduate,No,4950,0,125.0,360.0,1.0,Urban,1,4950
LP001034,Male,No,1,Not Graduate,No,3596,0,100.0,240.0,1.0,Urban,1,3596
LP001036,Female,No,0,Graduate,No,3510,0,76.0,360.0,0.0,Urban,0,3510
LP001038,Male,Yes,0,Not Graduate,No,4887,0,133.0,360.0,1.0,Rural,0,4887
LP001041,Male,Yes,0,Graduate,No,2600,3500,115.0,360.0,1.0,Urban,1,6100
LP001043,Male,Yes,0,Not Graduate,No,7660,0,104.0,360.0,0.0,Urban,0,7660
LP001046,Male,Yes,1,Graduate,No,5955,5625,315.0,360.0,1.0,Urban,1,11580
LP001047,Male,Yes,0,Not Graduate,No,2600,1911,116.0,360.0,0.0,Semiurban,0,4511
LP001050,Male,Yes,2,Not Graduate,No,3365,1917,112.0,360.0,0.0,Rural,0,5282
LP001052,Male,Yes,1,Graduate,No,3717,2925,151.0,360.0,1.0,Semiurban,0,6642
LP001066,Male,Yes,0,Graduate,Yes,9560,0,191.0,360.0,1.0,Semiurban,1,9560
LP001068,Male,Yes,0,Graduate,No,2799,2253,122.0,360.0,1.0,Semiurban,1,5052
LP001073,Male,Yes,2,Not Graduate,No,4226,1040,110.0,360.0,1.0,Urban,1,5266
LP001086,Male,No,0,Not Graduate,No,1442,0,35.0,360.0,1.0,Urban,0,1442
LP001087,Female,No,2,Graduate,No,3750,2083,120.0,360.0,1.0,Semiurban,1,5833
LP001091,Male,Yes,1,Graduate,No,4166,3369,201.0,360.0,1.0,Urban,0,7535
LP001095,Male,No,0,Graduate,No,3167,0,74.0,360.0,1.0,Urban,0,3167
LP001097,Male,No,1,Graduate,Yes,4692,0,106.0,360.0,1.0,Rural,0,4692
LP001098,Male,Yes,0,Graduate,No,3500,1667,114.0,360.0,1.0,Semiurban,1,5167
LP001100,Male,No,3,Graduate,No,12500,3000,320.0,360.0,1.0,Rural,0,15500
LP001106,Male,Yes,0,Graduate,No,2275,2067,128.0,360.0,1.0,Urban,1,4342
LP001109,Male,Yes,0,Graduate,No,1828,1330,100.0,360.0,0.0,Urban,0,3158
LP001112,Female,Yes,0,Graduate,No,3667,1459,144.0,360.0,1.0,Semiurban,1,5126
LP001114,Male,No,0,Graduate,No,4166,7210,184.0,360.0,1.0,Urban,1,11376
LP001116,Male,No,0,Not Graduate,No,3748,1668,110.0,360.0,1.0,Semiurban,1,5416
LP001119,Male,No,0,Graduate,No,3600,0,80.0,360.0,1.0,Urban,0,3600
LP001120,Male,No,0,Graduate,No,1800,1213,47.0,360.0,1.0,Urban,1,3013
LP001123,Male,Yes,0,Graduate,No,2400,0,75.0,360.0,1.0,Urban,1,2400
LP001131,Male,Yes,0,Graduate,No,3941,2336,134.0,360.0,1.0,Semiurban,1,6277
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0,96.0,360.0,1.0,Urban,1,4695
LP001137,Female,No,0,Graduate,No,3410,0,88.0,360.0,1.0,Urban,1,3410
LP001138,Male,Yes,1,Graduate,No,5649,0,44.0,360.0,1.0,Urban,1,5649
LP001144,Male,Yes,0,Graduate,No,5821,0,144.0,360.0,1.0,Urban,1,5821
LP001146,Female,Yes,0,Graduate,No,2645,3440,120.0,360.0,0.0,Urban,0,6085
LP001151,Female,No,0,Graduate,No,4000,2275,144.0,360.0,1.0,Semiurban,1,6275
LP001155,Female,Yes,0,Not Graduate,No,1928,1644,100.0,360.0,1.0,Semiurban,1,3572
LP001157,Female,No,0,Graduate,No,3086,0,120.0,360.0,1.0,Semiurban,1,3086
LP001164,Female,No,0,Graduate,No,4230,0,112.0,360.0,1.0,Semiurban,0,4230
LP001179,Male,Yes,2,Graduate,No,4616,0,134.0,360.0,1.0,Urban,0,4616
LP001186,Female,Yes,1,Graduate,Yes,11500,0,286.0,360.0,0.0,Urban,0,11500
LP001194,Male,Yes,2,Graduate,No,2708,1167,97.0,360.0,1.0,Semiurban,1,3875
LP001195,Male,Yes,0,Graduate,No,2132,1591,96.0,360.0,1.0,Semiurban,1,3723
LP001197,Male,Yes,0,Graduate,No,3366,2200,135.0,360.0,1.0,Rural,0,5566
LP001198,Male,Yes,1,Graduate,No,8080,2250,180.0,360.0,1.0,Urban,1,10330
LP001199,Male,Yes,2,Not Graduate,No,3357,2859,144.0,360.0,1.0,Urban,1,6216
LP001205,Male,Yes,0,Graduate,No,2500,3796,120.0,360.0,1.0,Urban,1,6296
LP001206,Male,Yes,3,Graduate,No,3029,0,99.0,360.0,1.0,Urban,1,3029
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449,165.0,180.0,0.0,Rural,0,6058
LP001213,Male,Yes,1,Graduate,No,4945,0,128.0,360.0,0.0,Rural,0,4945
LP001222,Female,No,0,Graduate,No,4166,0,116.0,360.0,0.0,Semiurban,0,4166
LP001225,Male,Yes,0,Graduate,No,5726,4595,258.0,360.0,1.0,Semiurban,0,10321
LP001228,Male,No,0,Not Graduate,No,3200,2254,126.0,180.0,0.0,Urban,0,5454
LP001233,Male,Yes,1,Graduate,No,10750,0,312.0,360.0,1.0,Urban,1,10750
LP001238,Male,Yes,3,Not Graduate,Yes,7100,0,125.0,60.0,1.0,Urban,1,7100
LP001241,Female,No,0,Graduate,No,4300,0,136.0,360.0,0.0,Semiurban,0,4300
LP001243,Male,Yes,0,Graduate,No,3208,3066,172.0,360.0,1.0,Urban,1,6274
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875,97.0,360.0,1.0,Semiurban,1,3750
LP001248,Male,No,0,Graduate,No,3500,0,81.0,300.0,1.0,Semiurban,1,3500
LP001250,Male,Yes,3,Not Graduate,No,4755,0,95.0,360.0,0.0,Semiurban,0,4755
LP001253,Male,Yes,3,Graduate,Yes,5266,1774,187.0,360.0,1.0,Semiurban,1,7040
LP001255,Male,No,0,Graduate,No,3750,0,113.0,480.0,1.0,Urban,0,3750
LP001256,Male,No,0,Graduate,No,3750,4750,176.0,360.0,1.0,Urban,0,8500
LP001259,Male,Yes,1,Graduate,Yes,1000,3022,110.0,360.0,1.0,Urban,0,4022
LP001263,Male,Yes,3,Graduate,No,3167,4000,180.0,300.0,0.0,Semiurban,0,7167
LP001264,Male,Yes,3,Not Graduate,Yes,3333,2166,130.0,360.0,1.0,Semiurban,1,5499
LP001265,Female,No,0,Graduate,No,3846,0,111.0,360.0,1.0,Semiurban,1,3846
LP001266,Male,Yes,1,Graduate,Yes,2395,0,128.0,360.0,1.0,Semiurban,1,2395
LP001267,Female,Yes,2,Graduate,No,1378,1881,167.0,360.0,1.0,Urban,0,3259
LP001273,Male,Yes,0,Graduate,No,6000,2250,265.0,360.0,1.0,Semiurban,0,8250
LP001275,Male,Yes,1,Graduate,No,3988,0,50.0,240.0,1.0,Urban,1,3988
LP001279,Male,No,0,Graduate,No,2366,2531,136.0,360.0,1.0,Semiurban,1,4897
LP001280,Male,Yes,2,Not Graduate,No,3333,2000,99.0,360.0,1.0,Semiurban,1,5333
LP001282,Male,Yes,0,Graduate,No,2500,2118,104.0,360.0,1.0,Semiurban,1,4618
LP001289,Male,No,0,Graduate,No,8566,0,210.0,360.0,1.0,Urban,1,8566
LP001310,Male,Yes,0,Graduate,No,5695,4167,175.0,360.0,1.0,Semiurban,1,9862
LP001316,Male,Yes,0,Graduate,No,2958,2900,131.0,360.0,1.0,Semiurban,1,5858
LP001318,Male,Yes,2,Graduate,No,6250,5654,188.0,180.0,1.0,Semiurban,1,11904
LP001319,Male,Yes,2,Not Graduate,No,3273,1820,81.0,360.0,1.0,Urban,1,5093
LP001322,Male,No,0,Graduate,No,4133,0,122.0,360.0,1.0,Semiurban,1,4133
LP001325,Male,No,0,Not Graduate,No,3620,0,25.0,120.0,1.0,Semiurban,1,3620
LP001326,Male,No,0,Graduate,No,6782,0,128.0,360.0,1.0,Urban,0,6782
LP001327,Female,Yes,0,Graduate,No,2484,2302,137.0,360.0,1.0,Semiurban,1,4786
LP001333,Male,Yes,0,Graduate,No,1977,997,50.0,360.0,1.0,Semiurban,1,2974
LP001334,Male,Yes,0,Not Graduate,No,4188,0,115.0,180.0,1.0,Semiurban,1,4188
LP001343,Male,Yes,0,Graduate,No,1759,3541,131.0,360.0,1.0,Semiurban,1,5300
LP001345,Male,Yes,2,Not Graduate,No,4288,3263,133.0,180.0,1.0,Urban,1,7551
LP001349,Male,No,0,Graduate,No,4843,3806,151.0,360.0,1.0,Semiurban,1,8649
LP001350,Male,Yes,0,Graduate,No,13650,0,128.0,360.0,1.0,Urban,1,13650
LP001356,Male,Yes,0,Graduate,No,4652,3583,128.0,360.0,1.0,Semiurban,1,8235
LP001357,Male,Yes,0,Graduate,No,3816,754,160.0,360.0,1.0,Urban,1,4570
LP001367,Male,Yes,1,Graduate,No,3052,1030,100.0,360.0,1.0,Urban,1,4082
LP001369,Male,Yes,2,Graduate,No,11417,1126,225.0,360.0,1.0,Urban,1,12543
LP001370,Male,No,0,Not Graduate,No,7333,0,120.0,360.0,1.0,Rural,0,7333
LP001379,Male,Yes,2,Graduate,No,3800,3600,216.0,360.0,0.0,Urban,0,7400
LP001384,Male,Yes,3,Not Graduate,No,2071,754,94.0,480.0,1.0,Semiurban,1,2825
LP001385,Male,No,0,Graduate,No,5316,0,136.0,360.0,1.0,Urban,1,5316
LP001387,Female,Yes,0,Graduate,No,2929,2333,139.0,360.0,1.0,Semiurban,1,5262
LP001391,Male,Yes,0,Not Graduate,No,3572,4114,152.0,360.0,0.0,Rural,0,7686
LP001392,Female,No,1,Graduate,Yes,7451,0,128.0,360.0,1.0,Semiurban,1,7451
LP001398,Male,No,0,Graduate,No,5050,0,118.0,360.0,1.0,Semiurban,1,5050
LP001401,Male,Yes,1,Graduate,No,14583,0,185.0,180.0,1.0,Rural,1,14583
LP001404,Female,Yes,0,Graduate,No,3167,2283,154.0,360.0,1.0,Semiurban,1,5450
LP001405,Male,Yes,1,Graduate,No,2214,1398,85.0,360.0,1.0,Urban,1,3612
LP001421,Male,Yes,0,Graduate,No,5568,2142,175.0,360.0,1.0,Rural,0,7710
LP001422,Female,No,0,Graduate,No,10408,0,259.0,360.0,1.0,Urban,1,10408
LP001426,Male,Yes,0,Graduate,No,5667,2667,180.0,360.0,1.0,Rural,1,8334
LP001430,Female,No,0,Graduate,No,4166,0,44.0,360.0,1.0,Semiurban,1,4166
LP001431,Female,No,0,Graduate,No,2137,8980,137.0,360.0,0.0,Semiurban,1,11117
LP001432,Male,Yes,2,Graduate,No,2957,0,81.0,360.0,1.0,Semiurban,1,2957
LP001439,Male,Yes,0,Not Graduate,No,4300,2014,194.0,360.0,1.0,Rural,1,6314
LP001443,Female,No,0,Graduate,No,3692,0,93.0,360.0,1.0,Rural,1,3692
LP001448,Male,Yes,3,Graduate,No,23803,0,370.0,360.0,1.0,Rural,1,23803
LP001449,Male,No,0,Graduate,No,3865,1640,128.0,360.0,1.0,Rural,1,5505
LP001451,Male,Yes,1,Graduate,Yes,10513,3850,160.0,180.0,0.0,Urban,0,14363
LP001465,Male,Yes,0,Graduate,No,6080,2569,182.0,360.0,1.0,Rural,0,8649
LP001469,Male,No,0,Graduate,Yes,20166,0,650.0,480.0,1.0,Urban,1,20166
LP001473,Male,No,0,Graduate,No,2014,1929,74.0,360.0,1.0,Urban,1,3943
LP001478,Male,No,0,Graduate,No,2718,0,70.0,360.0,1.0,Semiurban,1,2718
LP001482,Male,Yes,0,Graduate,Yes,3459,0,25.0,120.0,1.0,Semiurban,1,3459
LP001487,Male,No,0,Graduate,No,4895,0,102.0,360.0,1.0,Semiurban,1,4895
LP001488,Male,Yes,3,Graduate,No,4000,7750,290.0,360.0,1.0,Semiurban,0,11750
LP001489,Female,Yes,0,Graduate,No,4583,0,84.0,360.0,1.0,Rural,0,4583
LP001491,Male,Yes,2,Graduate,Yes,3316,3500,88.0,360.0,1.0,Urban,1,6816
LP001492,Male,No,0,Graduate,No,14999,0,242.0,360.0,0.0,Semiurban,0,14999
LP001493,Male,Yes,2,Not Graduate,No,4200,1430,129.0,360.0,1.0,Rural,0,5630
LP001497,Male,Yes,2,Graduate,No,5042,2083,185.0,360.0,1.0,Rural,0,7125
LP001498,Male,No,0,Graduate,No,5417,0,168.0,360.0,1.0,Urban,1,5417
LP001504,Male,No,0,Graduate,Yes,6950,0,175.0,180.0,1.0,Semiurban,1,6950
LP001507,Male,Yes,0,Graduate,No,2698,2034,122.0,360.0,1.0,Semiurban,1,4732
LP001508,Male,Yes,2,Graduate,No,11757,0,187.0,180.0,1.0,Urban,1,11757
LP001514,Female,Yes,0,Graduate,No,2330,4486,100.0,360.0,1.0,Semiurban,1,6816
LP001516,Female,Yes,2,Graduate,No,14866,0,70.0,360.0,1.0,Urban,1,14866
LP001518,Male,Yes,1,Graduate,No,1538,1425,30.0,360.0,1.0,Urban,1,2963
LP001519,Female,No,0,Graduate,No,10000,1666,225.0,360.0,1.0,Rural,0,11666
LP001520,Male,Yes,0,Graduate,No,4860,830,125.0,360.0,1.0,Semiurban,1,5690
LP001528,Male,No,0,Graduate,No,6277,0,118.0,360.0,0.0,Rural,0,6277
LP001529,Male,Yes,0,Graduate,Yes,2577,3750,152.0,360.0,1.0,Rural,1,6327
LP001531,Male,No,0,Graduate,No,9166,0,244.0,360.0,1.0,Urban,0,9166
LP001532,Male,Yes,2,Not Graduate,No,2281,0,113.0,360.0,1.0,Rural,0,2281
LP001535,Male,No,0,Graduate,No,3254,0,50.0,360.0,1.0,Urban,1,3254
LP001536,Male,Yes,3,Graduate,No,39999,0,600.0,180.0,0.0,Semiurban,1,39999
LP001541,Male,Yes,1,Graduate,No,6000,0,160.0,360.0,1.0,Rural,1,6000
LP001543,Male,Yes,1,Graduate,No,9538,0,187.0,360.0,1.0,Urban,1,9538
LP001546,Male,No,0,Graduate,No,2980,2083,120.0,360.0,1.0,Rural,1,5063
LP001552,Male,Yes,0,Graduate,No,4583,5625,255.0,360.0,1.0,Semiurban,1,10208
LP001560,Male,Yes,0,Not Graduate,No,1863,1041,98.0,360.0,1.0,Semiurban,1,2904
LP001562,Male,Yes,0,Graduate,No,7933,0,275.0,360.0,1.0,Urban,0,7933
LP001565,Male,Yes,1,Graduate,No,3089,1280,121.0,360.0,0.0,Semiurban,0,4369
LP001570,Male,Yes,2,Graduate,No,4167,1447,158.0,360.0,1.0,Rural,1,5614
LP001572,Male,Yes,0,Graduate,No,9323,0,75.0,180.0,1.0,Urban,1,9323
LP001574,Male,Yes,0,Graduate,No,3707,3166,182.0,360.0,1.0,Rural,1,6873
LP001577,Female,Yes,0,Graduate,No,4583,0,112.0,360.0,1.0,Rural,0,4583
LP001578,Male,Yes,0,Graduate,No,2439,3333,129.0,360.0,1.0,Rural,1,5772
LP001579,Male,No,0,Graduate,No,2237,0,63.0,480.0,0.0,Semiurban,0,2237
LP001580,Male,Yes,2,Graduate,No,8000,0,200.0,360.0,1.0,Semiurban,1,8000
LP001581,Male,Yes,0,Not Graduate,No,1820,1769,95.0,360.0,1.0,Rural,1,3589
LP001585,Male,Yes,3,Graduate,No,51763,0,700.0,300.0,1.0,Urban,1,51763
